country,year,low availability scenario,medium availability scenario,high availability scenario
SK ,2010,NaN,NaN,NaN
SK ,2020,6.6,10.8,13.6
SK ,2030,8,13.2,17.4
SK ,2040,4.8,8.3,11.3
SK ,2050,1.1,2.9,4
UK ,2010,NaN,NaN,NaN
UK ,2020,26.7,28,35
UK ,2030,34.2,36,46.8
UK ,2040,30.6,32.1,43.3
UK ,2050,26.6,27.6,38.7
