country,year,low availability scenario,medium availability scenario,high availability scenario
SI ,2050,NaN,NaN,NaN
SK ,2010,NaN,NaN,NaN
SK ,2020,3,2.3,2.9
SK ,2030,3.6,2.6,3.4
SK ,2040,2.2,2,2.7
SK ,2050,0.5,1.4,1.9
UK ,2010,NaN,NaN,NaN
UK ,2020,19.5,27.6,34.3
UK ,2030,24.9,35.9,46.6
UK ,2040,22.4,32.1,43.2
UK ,2050,19.5,27.8,38.7
